2025/09/11 12:46:35 [AUTO-DETECTED] MONITOR_STARTED: Real-time network threat detection daemon started
2025/09/11 12:46:35 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:46:44 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:46:52 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:00 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:08 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:16 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:24 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:33 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:41 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:49 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:47:57 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:05 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:14 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:22 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:30 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:38 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:46 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:48:55 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:03 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:11 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:19 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:27 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:36 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
2025/09/11 12:49:44 [AUTO-DETECTED] SSH_BRUTE_FORCE: Failed SSH login attempts detected from 127.0.0.1
